Notes	County	County Code	Year	Year Code	ICD-10 113 Cause List	ICD-10 113 Cause List Code	Deaths	Population	Crude Rate
	Adams County, CO	8001.0	2008.0	2008.0	Emphysema (J43)	GR113-084	19	424913	Unreliable
	Adams County, CO	8001.0	2008.0	2008.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	175	424913	41.18
	Adams County, CO	8001.0	2008.0	2008.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	11	424913	Unreliable
	Adams County, CO	8001.0	2008.0	2008.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	28	424913	6.59
	Adams County, CO	8001.0	2009.0	2009.0	#Influenza and pneumonia (J09-J18)	GR113-076	63	435700	14.46
	Adams County, CO	8001.0	2009.0	2009.0	Influenza (J09-J11)	GR113-077	13	435700	Unreliable
	Adams County, CO	8001.0	2009.0	2009.0	Pneumonia (J12-J18)	GR113-078	50	435700	11.48
	Adams County, CO	8001.0	2009.0	2009.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	178	435700	40.85
	Adams County, CO	8001.0	2009.0	2009.0	Emphysema (J43)	GR113-084	11	435700	Unreliable
	Adams County, CO	8001.0	2009.0	2009.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	163	435700	37.41
	Adams County, CO	8001.0	2009.0	2009.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	22	435700	5.05
	Adams County, CO	8001.0	2009.0	2009.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	38	435700	8.72
	Adams County, CO	8001.0	2010.0	2010.0	#Influenza and pneumonia (J09-J18)	GR113-076	39	441603	8.83
	Adams County, CO	8001.0	2010.0	2010.0	Pneumonia (J12-J18)	GR113-078	39	441603	8.83
	Adams County, CO	8001.0	2010.0	2010.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	194	441603	43.93
	Adams County, CO	8001.0	2010.0	2010.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	180	441603	40.76
	Adams County, CO	8001.0	2010.0	2010.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	13	441603	Unreliable
	Adams County, CO	8001.0	2010.0	2010.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	36	441603	8.15
	Adams County, CO	8001.0	2011.0	2011.0	#Influenza and pneumonia (J09-J18)	GR113-076	60	451443	13.29
	Adams County, CO	8001.0	2011.0	2011.0	Pneumonia (J12-J18)	GR113-078	58	451443	12.85
	Adams County, CO	8001.0	2011.0	2011.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	202	451443	44.75
	Adams County, CO	8001.0	2011.0	2011.0	Emphysema (J43)	GR113-084	14	451443	Unreliable
	Adams County, CO	8001.0	2011.0	2011.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	183	451443	40.54
	Adams County, CO	8001.0	2011.0	2011.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	18	451443	Unreliable
	Adams County, CO	8001.0	2011.0	2011.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	35	451443	7.75
	Adams County, CO	8001.0	2012.0	2012.0	#Influenza and pneumonia (J09-J18)	GR113-076	32	459598	6.96
	Adams County, CO	8001.0	2012.0	2012.0	Pneumonia (J12-J18)	GR113-078	32	459598	6.96
	Adams County, CO	8001.0	2012.0	2012.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	243	459598	52.87
	Adams County, CO	8001.0	2012.0	2012.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	232	459598	50.48
	Adams County, CO	8001.0	2012.0	2012.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	21	459598	4.57
	Adams County, CO	8001.0	2012.0	2012.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	41	459598	8.92
	Adams County, CO	8001.0	2013.0	2013.0	#Influenza and pneumonia (J09-J18)	GR113-076	62	469193	13.21
	Adams County, CO	8001.0	2013.0	2013.0	Pneumonia (J12-J18)	GR113-078	56	469193	11.94
	Adams County, CO	8001.0	2013.0	2013.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	201	469193	42.84
	Adams County, CO	8001.0	2013.0	2013.0	Emphysema (J43)	GR113-084	17	469193	Unreliable
	Adams County, CO	8001.0	2013.0	2013.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	177	469193	37.72
	Adams County, CO	8001.0	2013.0	2013.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	22	469193	4.69
	Adams County, CO	8001.0	2013.0	2013.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	40	469193	8.53
	Adams County, CO	8001.0	2014.0	2014.0	#Influenza and pneumonia (J09-J18)	GR113-076	71	480718	14.77
	Adams County, CO	8001.0	2014.0	2014.0	Influenza (J09-J11)	GR113-077	14	480718	Unreliable
	Adams County, CO	8001.0	2014.0	2014.0	Pneumonia (J12-J18)	GR113-078	57	480718	11.86
	Adams County, CO	8001.0	2014.0	2014.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	210	480718	43.68
	Adams County, CO	8001.0	2014.0	2014.0	Emphysema (J43)	GR113-084	11	480718	Unreliable
	Adams County, CO	8001.0	2014.0	2014.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	197	480718	40.98
	Adams County, CO	8001.0	2014.0	2014.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	25	480718	5.20
	Adams County, CO	8001.0	2014.0	2014.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	55	480718	11.44
	Adams County, CO	8001.0	2015.0	2015.0	#Influenza and pneumonia (J09-J18)	GR113-076	45	491337	9.16
	Adams County, CO	8001.0	2015.0	2015.0	Pneumonia (J12-J18)	GR113-078	38	491337	7.73
	Adams County, CO	8001.0	2015.0	2015.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	222	491337	45.18
	Adams County, CO	8001.0	2015.0	2015.0	Emphysema (J43)	GR113-084	11	491337	Unreliable
	Adams County, CO	8001.0	2015.0	2015.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	207	491337	42.13
	Adams County, CO	8001.0	2015.0	2015.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	20	491337	4.07
	Adams County, CO	8001.0	2015.0	2015.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	48	491337	9.77
	Adams County, CO	8001.0	2016.0	2016.0	#Influenza and pneumonia (J09-J18)	GR113-076	38	498187	7.63
	Adams County, CO	8001.0	2016.0	2016.0	Pneumonia (J12-J18)	GR113-078	35	498187	7.03
	Adams County, CO	8001.0	2016.0	2016.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	227	498187	45.57
	Adams County, CO	8001.0	2016.0	2016.0	Emphysema (J43)	GR113-084	12	498187	Unreliable
	Adams County, CO	8001.0	2016.0	2016.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	211	498187	42.35
	Adams County, CO	8001.0	2016.0	2016.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	19	498187	Unreliable
	Adams County, CO	8001.0	2016.0	2016.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	47	498187	9.43
	Adams County, CO	8001.0	2017.0	2017.0	#Influenza and pneumonia (J09-J18)	GR113-076	41	503167	8.15
	Adams County, CO	8001.0	2017.0	2017.0	Pneumonia (J12-J18)	GR113-078	32	503167	6.36
	Adams County, CO	8001.0	2017.0	2017.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	220	503167	43.72
	Adams County, CO	8001.0	2017.0	2017.0	Emphysema (J43)	GR113-084	13	503167	Unreliable
	Adams County, CO	8001.0	2017.0	2017.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	201	503167	39.95
	Adams County, CO	8001.0	2017.0	2017.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	23	503167	4.57
	Adams County, CO	8001.0	2017.0	2017.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	45	503167	8.94
	Adams County, CO	8001.0	2018.0	2018.0	#Influenza and pneumonia (J09-J18)	GR113-076	40	511868	7.81
	Adams County, CO	8001.0	2018.0	2018.0	Pneumonia (J12-J18)	GR113-078	31	511868	6.06
	Adams County, CO	8001.0	2018.0	2018.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	224	511868	43.76
	Adams County, CO	8001.0	2018.0	2018.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	212	511868	41.42
	Adams County, CO	8001.0	2018.0	2018.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	23	511868	4.49
	Adams County, CO	8001.0	2018.0	2018.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	49	511868	9.57
	Adams County, CO	8001.0	2019.0	2019.0	#Influenza and pneumonia (J09-J18)	GR113-076	30	517421	5.80
	Adams County, CO	8001.0	2019.0	2019.0	Pneumonia (J12-J18)	GR113-078	22	517421	4.25
	Adams County, CO	8001.0	2019.0	2019.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	195	517421	37.69
	Adams County, CO	8001.0	2019.0	2019.0	Emphysema (J43)	GR113-084	12	517421	Unreliable
	Adams County, CO	8001.0	2019.0	2019.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	180	517421	34.79
	Adams County, CO	8001.0	2019.0	2019.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	21	517421	4.06
	Adams County, CO	8001.0	2019.0	2019.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	58	517421	11.21
	Adams County, CO	8001.0	2020.0	2020.0	#Influenza and pneumonia (J09-J18)	GR113-076	38	519883	7.31
	Adams County, CO	8001.0	2020.0	2020.0	Pneumonia (J12-J18)	GR113-078	29	519883	5.58
	Adams County, CO	8001.0	2020.0	2020.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	229	519883	44.05
	Adams County, CO	8001.0	2020.0	2020.0	Emphysema (J43)	GR113-084	18	519883	Unreliable
	Adams County, CO	8001.0	2020.0	2020.0	Asthma (J45-J46)	GR113-085	10	519883	Unreliable
	Adams County, CO	8001.0	2020.0	2020.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	201	519883	38.66
	Adams County, CO	8001.0	2020.0	2020.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	14	519883	Unreliable
	Adams County, CO	8001.0	2020.0	2020.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	58	519883	11.16
	Alamosa County, CO	8003.0	2003.0	2003.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	13	15067	Unreliable
	Alamosa County, CO	8003.0	2005.0	2005.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	13	15236	Unreliable
	Alamosa County, CO	8003.0	2006.0	2006.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	10	15196	Unreliable
	Alamosa County, CO	8003.0	2008.0	2008.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	10	15300	Unreliable
	Alamosa County, CO	8003.0	2009.0	2009.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	10	15289	Unreliable
	Alamosa County, CO	8003.0	2010.0	2010.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	16	15445	Unreliable
	Alamosa County, CO	8003.0	2010.0	2010.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	16	15445	Unreliable
	Alamosa County, CO	8003.0	2011.0	2011.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	11	15710	Unreliable
	Alamosa County, CO	8003.0	2011.0	2011.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	11	15710	Unreliable
	Alamosa County, CO	8003.0	2012.0	2012.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	11	16148	Unreliable
	Alamosa County, CO	8003.0	2012.0	2012.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	10	16148	Unreliable
	Alamosa County, CO	8003.0	2013.0	2013.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	11	16253	Unreliable
	Alamosa County, CO	8003.0	2013.0	2013.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	10	16253	Unreliable
	Alamosa County, CO	8003.0	2014.0	2014.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	14	16177	Unreliable
	Alamosa County, CO	8003.0	2014.0	2014.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	13	16177	Unreliable
	Alamosa County, CO	8003.0	2015.0	2015.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	13	16496	Unreliable
	Alamosa County, CO	8003.0	2015.0	2015.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	13	16496	Unreliable
	Alamosa County, CO	8003.0	2016.0	2016.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	15	16654	Unreliable
	Alamosa County, CO	8003.0	2016.0	2016.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	13	16654	Unreliable
	Alamosa County, CO	8003.0	2017.0	2017.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	10	16551	Unreliable
	Alamosa County, CO	8003.0	2018.0	2018.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	13	16683	Unreliable
	Alamosa County, CO	8003.0	2018.0	2018.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	13	16683	Unreliable
	Alamosa County, CO	8003.0	2019.0	2019.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	19	16233	Unreliable
	Alamosa County, CO	8003.0	2019.0	2019.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	18	16233	Unreliable
	Alamosa County, CO	8003.0	2020.0	2020.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	10	16180	Unreliable
	Alamosa County, CO	8003.0	2020.0	2020.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	10	16180	Unreliable
	Arapahoe County, CO	8005.0	1999.0	1999.0	#Influenza and pneumonia (J09-J18)	GR113-076	81	482262	16.80
	Arapahoe County, CO	8005.0	1999.0	1999.0	Pneumonia (J12-J18)	GR113-078	79	482262	16.38
	Arapahoe County, CO	8005.0	1999.0	1999.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	151	482262	31.31
	Arapahoe County, CO	8005.0	1999.0	1999.0	Emphysema (J43)	GR113-084	37	482262	7.67
	Arapahoe County, CO	8005.0	1999.0	1999.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	106	482262	21.98
	Arapahoe County, CO	8005.0	1999.0	1999.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	19	482262	Unreliable
	Arapahoe County, CO	8005.0	1999.0	1999.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	34	482262	7.05
	Arapahoe County, CO	8005.0	2000.0	2000.0	#Influenza and pneumonia (J09-J18)	GR113-076	53	487967	10.86
	Arapahoe County, CO	8005.0	2000.0	2000.0	Pneumonia (J12-J18)	GR113-078	53	487967	10.86
	Arapahoe County, CO	8005.0	2000.0	2000.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	173	487967	35.45
	Arapahoe County, CO	8005.0	2000.0	2000.0	Emphysema (J43)	GR113-084	36	487967	7.38
	Arapahoe County, CO	8005.0	2000.0	2000.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	130	487967	26.64
	Arapahoe County, CO	8005.0	2000.0	2000.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	23	487967	4.71
	Arapahoe County, CO	8005.0	2000.0	2000.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	39	487967	7.99
	Arapahoe County, CO	8005.0	2001.0	2001.0	#Influenza and pneumonia (J09-J18)	GR113-076	56	502393	11.15
	Arapahoe County, CO	8005.0	2001.0	2001.0	Pneumonia (J12-J18)	GR113-078	55	502393	10.95
	Arapahoe County, CO	8005.0	2001.0	2001.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	157	502393	31.25
	Arapahoe County, CO	8005.0	2001.0	2001.0	Emphysema (J43)	GR113-084	35	502393	6.97
	Arapahoe County, CO	8005.0	2001.0	2001.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	115	502393	22.89
	Arapahoe County, CO	8005.0	2001.0	2001.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	35	502393	6.97
	Arapahoe County, CO	8005.0	2001.0	2001.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	38	502393	7.56
	Arapahoe County, CO	8005.0	2002.0	2002.0	#Influenza and pneumonia (J09-J18)	GR113-076	62	508936	12.18
	Arapahoe County, CO	8005.0	2002.0	2002.0	Pneumonia (J12-J18)	GR113-078	60	508936	11.79
	Arapahoe County, CO	8005.0	2002.0	2002.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	157	508936	30.85
	Arapahoe County, CO	8005.0	2002.0	2002.0	Emphysema (J43)	GR113-084	28	508936	5.50
	Arapahoe County, CO	8005.0	2002.0	2002.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	121	508936	23.78
	Arapahoe County, CO	8005.0	2002.0	2002.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	28	508936	5.50
	Arapahoe County, CO	8005.0	2002.0	2002.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	34	508936	6.68
	Arapahoe County, CO	8005.0	2003.0	2003.0	#Influenza and pneumonia (J09-J18)	GR113-076	87	513690	16.94
	Arapahoe County, CO	8005.0	2003.0	2003.0	Pneumonia (J12-J18)	GR113-078	80	513690	15.57
	Arapahoe County, CO	8005.0	2003.0	2003.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	156	513690	30.37
	Arapahoe County, CO	8005.0	2003.0	2003.0	Emphysema (J43)	GR113-084	26	513690	5.06
	Arapahoe County, CO	8005.0	2003.0	2003.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	126	513690	24.53
	Arapahoe County, CO	8005.0	2003.0	2003.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	28	513690	5.45
	Arapahoe County, CO	8005.0	2003.0	2003.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	33	513690	6.42
	Arapahoe County, CO	8005.0	2004.0	2004.0	#Influenza and pneumonia (J09-J18)	GR113-076	51	518971	9.83
	Arapahoe County, CO	8005.0	2004.0	2004.0	Pneumonia (J12-J18)	GR113-078	48	518971	9.25
	Arapahoe County, CO	8005.0	2004.0	2004.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	165	518971	31.79
	Arapahoe County, CO	8005.0	2004.0	2004.0	Emphysema (J43)	GR113-084	16	518971	Unreliable
	Arapahoe County, CO	8005.0	2004.0	2004.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	142	518971	27.36
	Arapahoe County, CO	8005.0	2004.0	2004.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	35	518971	6.74
	Arapahoe County, CO	8005.0	2004.0	2004.0	Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)	GR113-089	35	518971	6.74
	Arapahoe County, CO	8005.0	2005.0	2005.0	#Influenza and pneumonia (J09-J18)	GR113-076	58	524466	11.06
	Arapahoe County, CO	8005.0	2005.0	2005.0	Pneumonia (J12-J18)	GR113-078	54	524466	10.30
	Arapahoe County, CO	8005.0	2005.0	2005.0	#Chronic lower respiratory diseases (J40-J47)	GR113-082	174	524466	33.18
	Arapahoe County, CO	8005.0	2005.0	2005.0	Emphysema (J43)	GR113-084	20	524466	3.81
	Arapahoe County, CO	8005.0	2005.0	2005.0	Other chronic lower respiratory diseases (J44,J47)	GR113-086	148	524466	28.22
	Arapahoe County, CO	8005.0	2005.0	2005.0	#Pneumonitis due to solids and liquids (J69)	GR113-088	28	524466	5.34
